id,date,word_hanji,word_tailo,word_description,sentence_hanji,sentence_zh,season,month_theme,theme,source
31,2026-07-01,日頭,Ji̍t-thâu,太陽。,日頭落山進前，天色猶光，阮就坐佇門跤等風來。,太陽下山之前，天色還亮著，我們坐在門口等風來。,summer,midsummer,weather,
32,2026-07-02,透早,Thàu-tsá,清晨、大清早。,透早的菜市仔，阿媽提籃仔，揀甲慢慢仔。,清晨的菜市場，阿媽拿著籃子，慢慢地挑選。,summer,midsummer,daily_life,
33,2026-07-03,田岸,Tshân-huānn,田埂，稻田之間的小路。,赤跤踏田岸，熱熱的泥土，腳底燙甲想欲飛。,赤腳踩在田埂上，泥土燙燙的，腳底燙到想飛起來。,summer,midsummer,nature,
34,2026-07-04,草蜢仔,Tsháu-me̍h-á,蚱蜢、螞蚱。,草蜢仔一跳，消失佇青青的稻仔裡，揣無矣。,蚱蜢一跳，消失在青翠的稻田裡，找不著了。,summer,midsummer,nature,
35,2026-07-05,海風,Hái-hong,從海面吹來的風。,海風一陣仔吹過，扇仔就放落去矣。,海風一陣吹過，扇子就放下了。,summer,midsummer,nature,
36,2026-07-06,雷公,Luî-kong,雷聲（擬人化說法）。,雷公轟一聲，烏雲跟著來，囡仔衫仔規批趕緊收。,雷聲一響，烏雲跟著來，孩子的衣服全都趕緊收進來。,summer,midsummer,weather,
37,2026-07-07,烏雲,Oo-hûn,積雨雲、烏雲。,烏雲滾過來，日頭一下仔就無去矣，雨隨後就到。,烏雲滾過來，太陽一下子就不見了，雨隨後就到。,summer,midsummer,weather,
38,2026-07-08,紗仔衫,Se-á-sann,幼薄的紗仔衫，熱天穿。,熱到紗仔衫貼佇背，一工換兩領猶嫌未夠。,熱到汗衫貼著背，一天換兩件還嫌不夠。,summer,midsummer,object,
39,2026-07-09,踅,Se̍h,到處走走、閒逛。,放學無代誌，就踅去溪仔邊，坐佇石頭頂看水流。,放學沒事，就逛到溪邊，坐在石頭上看水流。,summer,midsummer,daily_life,
40,2026-07-10,埕,Tiânn,庭院、屋前的空地。,暗暝坐佇埕，月娘掛佇遐，風吹來，涼的。,夜晚坐在院子裡，月亮掛在那裡，風吹來，涼的。,summer,midsummer,place,
41,2026-07-11,枝仔冰,Ki-á-ping,冰棒。,放學轉來，一支枝仔冰，熱天就過一半矣。,放學回來，一支冰棒，夏天就過了一半。,summer,midsummer,food,
42,2026-07-12,西北雨,Sai-pak-hōo,夏天午後突然來的驟雨。,日頭猶未落山，西北雨就先到矣。,太陽還沒下山，西北雨就先來了。,summer,midsummer,weather,
43,2026-07-13,赤焱焱,Tshiah-iānn-iānn,形容天氣非常炎熱。,日頭赤焱焱，柏油路都快欲軟去矣。,太陽毒辣，柏油路都快要軟掉了。,summer,midsummer,weather,
44,2026-07-14,風颱,Hong-thai,颱風。,風颱來的前一暝，厝裡所有的窗仔攏關起來。,颱風來的前一晚，家裡所有的窗戶都關了起來。,summer,midsummer,weather,
45,2026-07-15,自由,Tsū-iû,不受束縛、可以做家己的人。,鳥仔出籠，揣著家己的自由，飛甲無看影。,鳥兒出籠，找到自己的自由，飛得不見蹤影。,summer,midsummer,democracy,
46,2026-07-16,海墘,Hái-kînn,海邊。,海墘的風吹來，連衫仔嘛有鹹味。,海邊的風吹來，連衣服也帶著鹹味。,summer,midsummer,place,
47,2026-07-17,歇涼,Hioh-liâng,乘涼、休息一下。,榕樹跤坐落去歇涼，日頭規工曝嘛毋驚。,在榕樹下坐著乘涼，太陽曬一整天也不怕。,summer,midsummer,daily_life,
48,2026-07-18,葵扇,Khuê-sìnn,扇子。,阿媽的葵扇一直搧，嘴裡猶原唸個不停。,阿媽的扇子一直搧，嘴裡還是念個不停。,summer,midsummer,object,
49,2026-07-19,檨仔,Suāinn-á,芒果。,後壁園的檨仔黃去矣，囡仔一早就去摘。,後院的芒果黃了，孩子一大早就去摘。,summer,midsummer,food,
50,2026-07-20,𧌄蜅蠐,Am-poo-tsê,蟬，熱天會吵的昆蟲。,𧌄蜅蠐吵吵滾，熱天的中晝靜抑無靜。,蟬聲嘈雜，夏天的正午靜也不靜。,summer,midsummer,nature,
51,2026-07-21,夜市,Iā-tshī,夜市。,夜市的燈光遠遠就看有，鼻著油煙就到矣。,夜市的燈光遠遠就看得見，聞到油煙就到了。,summer,midsummer,place,
52,2026-07-22,暗暝,Àm-mê,夜晚。,暗暝的庄跤，只剩電火箱的光映出來。,夜晚的鄉下，只剩冰箱的燈光映出來。,summer,midsummer,nature,
53,2026-07-23,考水披,Khó-tsuí-phi,拍水漂仔，擲扁石佇水面跳。,溪邊揀一塊扁石，考水披，跳三四下才落水。,溪邊撿一塊扁石，打水漂，跳三四下才沉。,summer,midsummer,nature,
54,2026-07-24,田嬰,Tshân-enn,蜻蜓。,田嬰停佇草仔頂，翅股透光，一動嘛無動。,蜻蜓停在草上，翅膀透著光，一動也不動。,summer,midsummer,nature,
55,2026-07-25,月娘,Gue̍h-niû,月亮。,月娘掛佇屋頂頂懸，阮坐佇埕仔等天光。,月亮掛在屋頂上，我們坐在院子裡等天亮。,summer,midsummer,nature,
56,2026-07-26,古意,Kóo-ì,老實、憨厚。,伊足古意，人講啥伊攏信。,他很憨厚，別人說什麼他都相信。,summer,midsummer,people,
57,2026-07-27,厚話,Kāu-uē,話多、愛說話。,阿舅厚話，一個人坐佇遐，嘛會跟家己講話。,舅舅話多，一個人坐在那裡，也會自言自語。,summer,midsummer,people,
58,2026-07-28,清彩,Tshing-tshài,隨便、無所謂。,問伊欲食啥，伊講清彩，結果啥攏嫌。,問他要吃什麼，他說隨便，結果什麼都嫌。,summer,midsummer,people,
59,2026-07-29,無彩,Bô-tshái,可惜、白費了。,彼盒便當攏無食到，無彩去矣。,那盒便當都沒吃完，可惜了。,summer,midsummer,feeling,
60,2026-07-30,食老,Tsia̍h-lāu,上了年紀、老了。,食老矣，行路的步數慢矣，心肝猶原足少年。,老了，走路的步伐慢了，心還是很年輕。,summer,midsummer,feeling,
61,2026-07-31,蓮花,Liân-hue,蓮花。,蓮花開佇濁水中，葉面的水珠一粒一粒仔。,蓮花開在濁水中，葉面上的水珠一顆一顆的。,summer,midsummer,nature,
